AverageTemperature,AverageTemperatureUncertainty,City,Year,Month
24.008,2.048,1,1843,3
26.793,1.298,1,1845,8
25.804,1.299,1,1846,10
26.763,1.524,1,1846,12
26.05,1.992,1,1849,1
24.535,1.733,1,1849,2
25.167,1.923,1,1849,3
23.92,1.468,1,1849,4
25.174,1.378,1,1849,5
27.128,1.479,1,1849,6
27.706,1.239,1,1849,7
27.537,1.391,1,1849,8
26.565,1.295,1,1849,9
26.073,1.615,1,1849,10
26.993,1.897,1,1849,11
25.193,1.392,1,1849,12
26.106,2.786,1,1850,1
25.635,1.97,1,1850,2
24.776,2.329,1,1850,3
24.33,1.763,1,1850,4
24.201,1.743,1,1850,5
26.773,1.29,1,1850,6
27.771,1.254,1,1850,7
27.625,1.188,1,1850,8
26.797,1.208,1,1850,9
26.316,1.573,1,1850,10
25.796,1.783,1,1850,11
24.262,1.555,1,1850,12
25.296,1.835,1,1851,1
23.974,1.513,1,1851,2
23.677,1.888,1,1851,3
24.349,1.776,1,1851,4
26.33,1.421,1,1851,5
27.467,1.296,1,1851,6
27.163,1.794,1,1851,7
27.416,1.562,1,1851,8
26.277,1.353,1,1851,9
26.591,2.067,1,1851,10
25.243,1.542,1,1851,11
25.528,2.745,1,1851,12
23.464,2.182,1,1852,1
25.581,2.743,1,1852,2
23.836,2.414,1,1852,3
24.621,2.575,1,1852,4
26.412,1.975,1,1852,5
26.929,1.279,1,1852,6
27.301,1.489,1,1852,7
27.26,2.493,1,1852,8
26.425,1.314,1,1852,9
26.15,1.771,1,1852,10
26.144,2.948,1,1852,11
26.575,1.552,1,1852,12
23.741,1.593,1,1853,1
22.949,1.504,1,1853,2
22.914,1.837,1,1853,3
24.062,1.329,1,1853,4
25.987,1.396,1,1853,5
26.511,1.482,1,1853,6
27.963,1.053,1,1853,7
26.843,1.303,1,1853,8
26.291,1.396,1,1853,9
25.942,1.277,1,1853,10
26.246,1.855,1,1853,11
25.529,1.499,1,1853,12
23.859,2.071,1,1854,1
23.116,1.562,1,1854,2
24.708,1.508,1,1854,3
23.899,1.221,1,1854,4
25.896,1.26,1,1854,5
26.553,1.42,1,1854,6
26.422,1.723,1,1854,7
26.306,1.413,1,1854,8
26.003,1.325,1,1854,9
26.983,1.499,1,1854,10
25.995,1.341,1,1854,11
24.147,2.19,1,1854,12
25.252,2.542,1,1855,1
23.404,2.138,1,1855,2
22.99,2.203,1,1855,3
24.521,1.807,1,1855,4
26.881,1.71,1,1855,5
26.875,1.643,1,1855,6
26.112,1.735,1,1855,7
26.133,1.453,1,1855,8
25.407,1.652,1,1855,9
25.149,1.534,1,1855,10
25.903,1.482,1,1855,11
24.875,2.067,1,1855,12
22.9,2.654,1,1856,1
23.171,1.72,1,1856,2
23.403,1.95,1,1856,3
24.499,1.498,1,1856,4
25.529,1.781,1,1856,5
27.622,1.928,1,1856,6
27.031,1.373,1,1856,7
27.774,1.484,1,1856,8
25.523,1.645,1,1856,9
25.079,1.57,1,1856,10
24.832,2.281,1,1856,11
25.085,1.873,1,1856,12
24.368,1.973,1,1857,1
24.64,1.955,1,1857,2
22.985,1.804,1,1857,3
22.837,2.484,1,1857,4
25.193,1.911,1,1857,5
27.255,1.6,1,1857,6
27.513,1.357,1,1857,7
27.465,1.143,1,1857,8
26.056,1.023,1,1857,9
26.313,1.585,1,1857,10
26.44,1.167,1,1857,11
25.134,1.238,1,1857,12
25.741,2.029,1,1858,1
23.609,1.493,1,1858,2
23.705,1.818,1,1858,3
25.07,1.489,1,1858,4
26.921,2.515,1,1858,5
27.326,1.897,1,1858,6
27.3,2.147,1,1858,7
26.868,1.24,1,1858,8
26.63,1.655,1,1858,9
27.744,1.609,1,1858,10
25.631,1.663,1,1858,11
24.828,1.27,1,1858,12
24.613,1.426,1,1859,1
25.493,1.418,1,1859,2
24.91,1.949,1,1859,3
25.212,1.654,1,1859,4
27.005,1.363,1,1859,5
27.544,1.238,1,1859,6
27.236,1.239,1,1859,7
27.572,0.958,1,1859,8
26.208,1.012,1,1859,9
26.387,1.102,1,1859,10
26.273,1.762,1,1859,11
24.142,1.459,1,1859,12
24.223,1.364,1,1860,1
23.344,1.347,1,1860,2
22.541,1.928,1,1860,3
24.214,1.449,1,1860,4
25.668,2.287,1,1860,5
28.006,1.068,1,1860,6
27.417,1.113,1,1860,7
26.739,1.078,1,1860,8
26.345,0.967,1,1860,9
26.271,0.985,1,1860,10
26.136,1.688,1,1860,11
24.583,1.492,1,1860,12
23.84,1.871,1,1861,1
23.01,1.615,1,1861,2
23.597,1.46,1,1861,3
24.421,1.518,1,1861,4
25.655,1.718,1,1861,5
27.807,1.34,1,1861,6
27.874,1.256,1,1861,7
27.198,1.426,1,1861,8
26.75,1.538,1,1861,9
26.148,1.387,1,1861,10
27.405,1.79,1,1861,11
26.103,1.936,1,1861,12
25.097,1.756,1,1862,1
23.567,1.823,1,1862,2
23.764,1.584,1,1862,3
24.697,1.414,1,1862,4
26.154,1.536,1,1862,5
27.323,1.384,1,1862,6
27.679,1.281,1,1862,7
27.275,1.326,1,1862,8
26.346,1.337,1,1862,9
25.773,1.597,1,1862,10
25.744,1.441,1,1862,11
24.227,1.65,1,1862,12
24.77,1.935,1,1863,1
24.601,2.3,1,1863,2
24.913,1.336,1,1863,3
24.837,1.563,1,1863,4
25.546,1.845,1,1863,5
27.429,1.402,1,1863,6
27.347,1.19,1,1863,7
26.991,1.226,1,1863,8
26.7,1.421,1,1863,9
